Neil Gorsuch|To some lawyers, all facts are created equal.
Rachel Held Evans, A Year of Biblical Womanhood|The French believe that kids feel confident when they're able to do things for themselves, and do those things well. After children have learned to talk, adults don't praise them for saying just anything. They praise them for saying interesting things, and for speaking well.
E.A. Bucchianeri, Phantom Phantasia: Poetry for the Phantom of the Opera Phan|Stay away from the underground lake I implore,The Siren will see you are heard of no more.
BinYamin Gulzar|Sitting alone in the alley of dark submissive loneliness.Retrospecting on the things that were left unsaid , only if they weren't ! The monsters within my head grow stronger everyday ,Fighting them everyday , I wonder , does it make me an unsung hero , no one knows about ! ? May be I will die like a unknown martyer within my own hallucinations Or may be perhaps I may be a sacrificial lamb .Happiness is but a dream I cherish most , I need peace , I have none .Set me free , I have been broken I want to breath ., my last ! I want to be free at last !
Shay Savage, Transcendence|Elizabeth."I feel my smile on my face as I understand what she is doing. Though it's a strange one, she has a name-sound just like I do, and she's telling me what it is. I try to make the same sounds."Ehh..beh." I frown. Why is her name-sound so difficult and so long?She frowns right back at me and says it again. "Elizabeth.""Beh-tah-babaa."She sighs and her forehead wrinkles. "Elizabeth. Eeee-lizzzz-ahh-beth.""Laahh...baaay."She taps her chest again."Beth!"The sound is shorter but still very odd."Beh-bet.""Beth," she repeats.I've had enough. I reach out and touch her should."Beh.""Beth." I tap her a little harder and growl."Beh", I repeat. I tap her again. "BEH!"Her eyes widen a bit, and she inhales sharply. A moment later, her shoulders drop and she sighs."Beh," she says quietly.
Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness|When you discover your own self, you will see that same infinite potential in your lover’s eyes.
Amber Hurdle, The Bombshell Business Woman: How to Become a Bold, Brave, and Successful Female Entrepreneur|To gain your share of the market, you must show how your company is different and how your culture produces a unique experience for your customers, leaving no room for competition. And that, Bombshell, is your brand.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Making a dream into reality begins with what you have, not with what you are waiting on.
Immaculée Ilibagiza, Left to Tell: Discovering God Amidst the Rwandan Holocaust|The author recognizes the power of the persecuting tribe referring to members of hers consistently as "snakes" or "roaches". This dehumanizing language, she realizes, seeps into the subconscious and makes it easier to forget that fellow humans were created in God's image.
John F. Kennedy|If we cannot end now our differences, at least we can help make the world safe for dive
Jane Mendelsohn, I Was Amelia Earhart|The spring came suddenly; the rains stopped, the days grew noticeably longer, and the afternoon light felt powdery, as if it might blow away.
Levon Peter Poe|In our very ordinariness', we are capable of extraordinary actions
Abraham Hicks|Do you keep pace with those around you, or do you decide yourself just how you will live your life? The truth is...only you are qualified to set your standards. Only you can determine how you should live and what you will finally expect from yourself.
